WorkflowName,Trigger,PrimaryOwner,EscalationOwner,InputScope,OutputScope,ValidationStatus,Notes
RefreshHealthcareIntelligence,Scheduled_or_source_change,Data_Platform_Owner,Clinical_Sponsor,Facility_or_unit,Dashboard_and_assistant,StarterTemplate,Refreshes live intelligence and quality flags
GenerateOnDemandPatientInsight,Assistant_request,Assigned_Clinical_Owner,Clinical_Sponsor,Patient_or_episode,Insight_summary,StarterTemplate,Role-aware patient summary with escalation cues
SendClinicalAlert,Rule_or_manual_request,Charge_Nurse_or_Equivalent,Nursing_Director,Patient_or_unit,Alert_delivery,StarterTemplate,Routes alert by severity and policy
ExportCareSummary,Assistant_or_dashboard_request,Case_Manager_or_Equivalent,Compliance_Owner,Patient_or_episode,Controlled_export,StarterTemplate,Consent and audience must be validated
CreateClinicalDocument,Assistant_or_remediation_queue,Documentation_Owner,Clinical_Sponsor,Patient_or_unit,Document_draft,StarterTemplate,No fabrication of missing sections
UpdateCarePlanFromInsights,Validated_insight_or_variance_signal,Assigned_Clinician,Clinical_Sponsor,Patient_and_care_plan,Care_plan_update_recommendation,StarterTemplate,Requires clinician review before activation
TriggerMedicationReview,Medication_risk_rule_or_request,Pharmacist_or_Med_Safety_Owner,Medical_Director,Patient_and_med_list,Review_request,StarterTemplate,Advisory only until human review completes
InitiateFallResponseProtocol,Fall_signal_or_assistant_request,Nursing_Owner,Nursing_Director,Patient_and_event_context,Protocol_launch,StarterTemplate,Post-fall or near-fall response
InitializeInfectionControlProtocol,Outbreak_signal_lab_event_or_request,Infection_Prevention_Owner,Medical_Director,Patient_or_unit,Containment_and_review_actions,StarterTemplate,Isolation and environmental checks included
GenerateQualityMeasureReport,Scheduled_or_manual_quality_request,Quality_Owner,Executive_Sponsor,Facility_or_unit,Quality_report,StarterTemplate,Benchmarked output with remediation owners
