PageName,PrimaryQuestion,PrimaryAudience,KeyVisuals,DrillthroughTarget,SecurityModel,Status
Executive_Operations_Command_Center,What_needs_attention_now,Exec_and_leadership,Quality_trends_heatmaps_alerts,Unit_and_patient,Role_based,StarterTemplate
Patient_Safety_And_Risk_Surveillance,Who_is_at_risk_now,Nursing_and_clinical_leads,Risk_matrices_timelines_predictive_scores,Patient_and_unit,Assignment_based,StarterTemplate
Therapy_Productivity_And_Outcomes,Where_are_therapy_gaps_or_opportunities,Therapy,Progress_sparklines_outcomes_funnels,Patient_and_discipline,Role_based,StarterTemplate
Infection_Control_And_Surveillance,Are_there_emerging_clusters_or_containment_gaps,Infection_prevention_and_nursing,Heatmaps_control_charts_pathway_flow,Patient_unit_and_environmental_services,Restricted_unit_and_role,StarterTemplate
Medication_Safety_And_Stewardship,Where_are_medication_risks_accumulating,Pharmacy_and_nursing,Medication_timelines_risk_matrices_alert_metrics,Patient_and_med_review,Restricted_role_and_assignment,StarterTemplate
Staffing_Optimization_And_Workload_Balance,Where_is_staffing_pressure_highest,Operations_and_leadership,Utilization_heatmaps_bottleneck_views_what_if,Unit_and_shift,Role_based,StarterTemplate
Quality_Measures_And_Regulatory_Compliance,Which_measures_or_requirements_are_off_target,Quality_compliance_and_exec,Trend_charts_control_charts_funnels,Measure_unit_and_patient,Restricted_role,StarterTemplate
Patient_Flow_And_Bed_Management,Where_are_flow_constraints_delaying_care,Operations_case_management_and_leadership,Readiness_views_timelines_heatmaps,Unit_patient_and_discharge_path,Role_based,StarterTemplate
Family_Communication_And_Satisfaction,Where_are_family_communication_gaps_or_dissatisfaction_trends,Social_work_case_management_and_leadership,Experience_metrics_trends_sentiment,Patient_and_family_workflow,Consent_and_role_based,StarterTemplate
Clinical_Documentation_Completeness,Where_is_documentation_incomplete_or_late,Clinical_leads_and_documentation_owners,Funnels_heatmaps_gap_metrics,Patient_and_remediation_queue,Role_and_assignment_based,StarterTemplate
Individual_Patient_Clinical_Overview,What_requires_attention_for_this_patient_now,Direct_care_team,Patient_timeline_med_timeline_care_plan_gauges,Related_patient_pages,Strict_patient_level_RLS,StarterTemplate
Population_Health_And_Cohort_Analysis,What_patterns_exist_across_cohorts,Quality_research_and_leadership,Survival_curves_sdoh_visuals_bias_views,Cohort_unit_and_patient,Minimum_necessary_and_deidentified_where_possible,StarterTemplate
